"V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21"
"ERCC-00002" 1195 1011 1249 1051 1070 1314 1202 1458 1063 1314 1494 1122 1448 1277 1310 1245 1373 1277 1288 1090
"ERCC-00003" 83 70 108 75 76 93 81 110 89 75 114 64 98 127 98 96 96 97 80 80
"ERCC-00004" 597 486 571 504 495 609 544 731 513 629 718 521 702 679 683 552 684 649 649 552
"ERCC-00009" 58 55 86 59 64 79 69 78 48 71 80 65 85 77 79 56 78 77 74 54
"ERCC-00012" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERCC-00013" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERCC-00014" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"ERCC-00016" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERCC-00017" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERCC-00019" 2 2 3 2 5 3 4 2 0 3 4 3 3 2 1 2 2 3 2 1
"ERCC-00022" 13 4 8 11 18 20 12 22 10 10 13 10 26 17 22 15 16 15 16 15
"ERCC-00024" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"ERCC-00025" 4 4 5 7 4 8 1 4 5 3 5 5 4 6 5 11 2 2 4 2
"ERCC-00028" 0 0 1 0 0 0 0 0 1 0 1 0 3 1 0 0 0 0 0 0
"ERCC-00031" 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"ERCC-00033" 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1
"ERCC-00034" 1 0 0 3 3 1 0 0 1 1 7 1 3 2 1 1 3 1 1 0
"ERCC-00035" 7 8 7 6 2 11 2 7 3 5 8 3 2 2 5 5 1 6 7 6
"ERCC-00039" 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0
"ERCC-00040" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERCC-00041" 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERCC-00042" 48 38 58 41 46 42 46 61 47 44 59 30 62 43 53 45 40 70 55 49
"ERCC-00043" 47 48 58 55 73 74 39 70 47 54 70 61 65 74 60 48 57 61 56 51
"ERCC-00044" 9 1 8 7 2 7 5 9 7 9 9 7 3 6 11 5 6 5 8 3
"ERCC-00046" 329 257 327 299 290 347 281 400 277 360 428 296 366 376 337 310 356 357 339 322
"ERCC-00048" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERCC-00051" 3 2 4 2 4 5 6 3 6 2 3 3 6 5 9 3 3 7 8 1
"ERCC-00053" 2 2 2 5 0 4 2 2 4 3 4 0 2 1 1 2 1 3 1 3
